,id,info
0,304586,"the wasa2 object-oriented workflow management system gottfried vossen, mathias weske 1999"
1,304587,"a user-centered interface for querying distributed multimedia databases isabel f. cruz, kimberly m. james 1999"
2,304589,"world wide database-integrating the web, corba and databases athman bouguettaya, boualem benatallah, lily hendra, james beard, kevin smith, mourad quzzani 1999"
3,304590,"xml-based information mediation with mix chaitan baru, amarnath gupta, bertram lud&#228;scher, richard marciano, yannis papakonstantinou, pavel velikhov, vincent chu 1999"
4,304582,"the ccube constraint object-oriented database system alexander brodsky, victor e. segal, jia chen, paval a. exarkhopoulo 1999"
5,304583,"the cornell jaguar project: adding mobility to predator phillippe bonnet, kyle buza, zhiyuan chan, victor cheng, randolph chung, takako hickey, ryan kennedy, daniel mahashin, tobias mayr, ivan oprencak, praveen seshadri, hubert siu 1999"
6,304584,"the active multisync controller of the cubetree storage organization nick roussopoulos, yannis kotidis, yannis sismanis 1999"
7,304585,"the jungle database search engine michael b&#246;hlen, linas bukauskas, curtis dyreson 1999"
8,306112,"adept: an agent-based approach to business process management n. r. jennings, t. j. norman, p. faratin 1998"
9,306115,"a componentized architecture for dynamic electronic markets benny reich, israel ben-shaul 1998"
10,306119,"design and implementation of rmp: a virtual electronic market place susanne boll, wolfgang klas, bernard battaglin 1998"
11,306124,"discovering internet marketing intelligence through online analytical web usage mining alex g. b&#252;chner, maurice d. mulvenna 1998"
12,306102,"component-based e-commerce: assessment of current practices and future directions martin bichler, arie segev, j. leon zhao 1998"
13,306103,building database-driven electronic catalogs sherif danish 1998
14,306105,"xml and electronic commerce: enabling the network economy bart meltzer, robert glushko 1998"
15,306109,"a workflow-based electronic marketplace on the web asuman dogac, ilker durusoy, sena arpinar, nesime tatbul, pinar koksal, ibrahim cingil, nazife dimililer 1998"
16,304571,"dbis-toolkit: adaptable middleware for large scale data delivery mehmet altinel, demet aksoy, thomas baby, michael franklin, william shapiro, stan zdonik 1999"
17,304570,"an xjml-based wrapper generator for web information extraction ling liu, wei han, david buttler, calton pu, wei tang 1999"
18,304573,"database patchwork on the internet reinhard braumandl, alfons kemper, donald kossmann 1999"
19,304572,"domino: databases for moving objects tracking ouri wolfson, prasad sistla, bo xu, jutai zhou, sam chamberlain 1999"
20,304250,"the need for distributed asynchronous transactions lyman do, prabhu ram, pamela drew 1999"
21,304248,"versions and workspaces in microsoft repository thomas bergstraesser, philip a. bernstein, shankar pal, david shutt 1999"
22,304569,"data integration and warehousing in telecom italia stefano m. trisolini, maurizio lenzerini, daniele nardi 1999"
23,304568,"improving oltp data quality using data warehouse mechanisms matthias jarke, christoph quix, guido blees, dirk lehmann, gunter michalk, stefan stierl 1999"
24,304579,"serf: odmg-based generic re-structuring facility e. a. rundensteiner, k. claypool, m. li, l. chen, z. zhang, c. natarajan, j. jin, s. de lima, s. weiner 1999"
25,304578,"powerbookmarks: a system for personalizable web information organization, sharing, and management wen-syan li, quoc vu, edward chang, divyakant agrawal, kyoji hirata, sougata mukherjea, yi-leh wu, corey bufi, chen-chuan kevin chang, yoshinori hara, reiko ito, yutaka kimura, kezuyuki shimazu, yukiyoshi saito 1999"
26,304581,"the aqua approximate query answering system swarup acharya, phillip b. gibbons, viswanath poosala, sridhar ramaswamy 1999"
27,304580,"tam: a system for dynamic transactional activity management tong zhou, ling liu, calton pu 1999"
28,304575,"exploratory mining via constrained frequent set queries raymond ng, laks v. s. lakshmanan, jiawei han, teresa mah 1999"
29,304574,"evolvable view environment (eve): non-equivalent view maintenance under schema changes e. a. rundensteiner, a. koeller, x. zhang, a. j. lee, a. nica, a. van wyk, y. lee 1999"
30,304577,"phoenix: making applications robust roger barga, david b. lomet 1999"
31,304576,"nodose version 2.0 brad adelberg, matthew denny 1999"
32,304235,"bringing object-relational technology to the mainstream vishu krishnamurthy, sandeepan banerjee, anil nori 1999"
33,304236,implementing the spirit of sql-99 paul brown 1999
34,304233,managing web data dan suciu 1999
35,304234,"o-o, what's happening to db2? m. carey, d. chamberlin, d. doole, s. rielau, n. mattos, s. narayanan, b. vance, r. swagerman 1999"
36,304231,hypertext databases and data mining soumen chakrabarti 1999
37,304232,"clustering methods for large databases: from the past to the future alexander hinneburg, daniel a. keim 1999"
38,304229,petabyte databases dirk d&#252;llmann 1999
39,304230,a database perspective on lotus domino/notes c. mohan 1999
40,304245,microsoft site server (commerce ed.): talk-slides available at the conference bassel ojjeh 1999
41,304246,e-commerce database issues and experience: (talk-slides available at at the conference) anand rajaraman 1999
42,304243,merge replication in microsoft's sql server 7.0 brad hammond 1999
43,304244,in-memory data management for consumer transactions the timesten approach corporate timesten team 1999
44,304241,emc information sharing: direct access to mvs data from unix and nt walt kohler 1999
45,304242,daytona and the foruth-generation language cymbal rick greer 1999
46,304239,"datablitz storage manager: main-memory database performance for critical applications j. baulier, p. bohannon, s. gogate, c. gupta, s. haldar 1999"
