,id,title,authors,venue,year
0,304586,the wasa2 object-oriented workflow management system,"gottfried vossen, mathias weske",international conference on management of data,1999
1,304587,a user-centered interface for querying distributed multimedia databases,"isabel f. cruz, kimberly m. james",international conference on management of data,1999
2,304589,"world wide database-integrating the web, corba and databases","athman bouguettaya, boualem benatallah, lily hendra, james beard, kevin smith, mourad quzzani",international conference on management of data,1999
3,304590,xml-based information mediation with mix,"chaitan baru, amarnath gupta, bertram lud&#228;scher, richard marciano, yannis papakonstantinou, pavel velikhov, vincent chu",international conference on management of data,1999
4,304582,the ccube constraint object-oriented database system,"alexander brodsky, victor e. segal, jia chen, paval a. exarkhopoulo",international conference on management of data,1999
5,304583,the cornell jaguar project: adding mobility to predator,"phillippe bonnet, kyle buza, zhiyuan chan, victor cheng, randolph chung, takako hickey, ryan kennedy, daniel mahashin, tobias mayr, ivan oprencak, praveen seshadri, hubert siu",international conference on management of data,1999
6,304584,the active multisync controller of the cubetree storage organization,"nick roussopoulos, yannis kotidis, yannis sismanis",international conference on management of data,1999
7,304585,the jungle database search engine,"michael b&#246;hlen, linas bukauskas, curtis dyreson",international conference on management of data,1999
8,306112,adept: an agent-based approach to business process management,"n. r. jennings, t. j. norman, p. faratin",acm sigmod record ,1998
9,306115,a componentized architecture for dynamic electronic markets,"benny reich, israel ben-shaul",acm sigmod record ,1998
10,306119,design and implementation of rmp: a virtual electronic market place,"susanne boll, wolfgang klas, bernard battaglin",acm sigmod record ,1998
11,306124,discovering internet marketing intelligence through online analytical web usage mining,"alex g. b&#252;chner, maurice d. mulvenna",acm sigmod record ,1998
12,306102,component-based e-commerce: assessment of current practices and future directions,"martin bichler, arie segev, j. leon zhao",acm sigmod record ,1998
13,306103,building database-driven electronic catalogs,sherif danish,acm sigmod record ,1998
14,306105,xml and electronic commerce: enabling the network economy,"bart meltzer, robert glushko",acm sigmod record ,1998
15,306109,a workflow-based electronic marketplace on the web,"asuman dogac, ilker durusoy, sena arpinar, nesime tatbul, pinar koksal, ibrahim cingil, nazife dimililer",acm sigmod record ,1998
16,304571,dbis-toolkit: adaptable middleware for large scale data delivery,"mehmet altinel, demet aksoy, thomas baby, michael franklin, william shapiro, stan zdonik",international conference on management of data,1999
17,304570,an xjml-based wrapper generator for web information extraction,"ling liu, wei han, david buttler, calton pu, wei tang",international conference on management of data,1999
