,id,info
0,journals/sigmod/Mackay99,semantic integration of environmental models for application to global information systems and decision-making d. scott mackay 1999
1,conf/vldb/PoosalaI96,"estimation of query-result distribution and its application in parallel-join load balancing viswanath poosala, yannis e. ioannidis 1996"
2,conf/vldb/PalpanasSCP02,"incremental maintenance for non-distributive aggregate functions themistoklis palpanas, richard sidle, hamid pirahesh, roberta cochrane 2002"
3,conf/vldb/GardarinGT96,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang, georges gardarin, jean-robert gruser 1996"
4,conf/vldb/HoelS95,"benchmarking spatial join operations with spatial output erik g. hoel, hanan samet 1995"
5,conf/sigmod/Keim99,efficient geometry-based similarity search of 3d spatial databases daniel a. keim 1999
6,journals/sigmod/Ouksel02,mining the world wide web: an information search approach - book review aris m. ouksel 2002
7,journals/vldb/Seshadri98,enhanced abstract data types in object-relational databases praveen seshadri 1998
8,journals/sigmod/RamamrithamS97,"report on dart '96: databases: active and real-time (concepts meet practice) nandit soparkar, krithi ramamritham 1997"
9,journals/sigmod/DAndreaJ96,"unisql's next-generation object-relational database management system phil janus, albert d'andrea 1996"
10,conf/vldb/KemperK94,"dual-buffering strategies in object bases alfons kemper, donald kossmann 1994"
11,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,"aurora: a data stream management system nesime tatbul, daniel j. abadi, c. erwin, anurag maskey, mitch cherniack, alex rasin, christian convey, a. singer, eduardo f. galvez, r. yan, ugur ̤etintemel, ying xing, stanley b. zdonik, michael stonebraker, donald carney, m. hatoun 2003"
12,journals/vldb/SivasankaranSTPR96,"priority assignment in real-time active databases rajendran m. sivasankaran, bhaskar purimetla, john a. stankovic, krithi ramamritham, donald f. towsley 1996"
13,journals/vldb/SheikholeslamiCZ00,"wavecluster: a wavelet based clustering approach for spatial data in very large databases surojit chatterjee, gholamhosein sheikholeslami, aidong zhang 2000"
14,journals/vldb/ChangG01,"approximate query mapping: accounting for translation closeness hector garcia-molina, kevin chen-chuan chang 2001"
15,conf/vldb/ShaferAM96,"sprint: a scalable parallel classifier for data mining john c. shafer, rakesh agrawal, manish mehta 1996"
16,conf/sigmod/AgichteinGV01,"snowball: a prototype system for extracting relations from large text collections jeff pavel, luis gravano, aleksandr voskoboynik, eugene agichtein, viktoriya sokolova 2001"
17,conf/sigmod/GriffinH97,"a framework for implementing hypothetical queries timothy griffin, richard hull 1997"
18,journals/vldb/IoannidisNSS97,"parametric query optimization raymond t. ng, timos k. sellis, yannis e. ioannidis, kyuseok shim 1997"
19,conf/vldb/CuiW01,"lineage tracing for general data warehouse transformations yingwei cui, jennifer widom 2001"
20,journals/sigmod/Hammer02,report on the acm fourth international workshop on data warehousing and olap (dolap 2001) joachim hammer 2002
21,conf/vldb/Bar-YossefBCFW00,"approximating aggregate queries about web pages via random walks jittat fakcharoenphol, steve chien, ziv bar-yossef, alexander berg, dror weitz 2000"
22,journals/sigmod/FernandezFLS97,"a query language for a web-site management system dan suciu, daniela florescu, alon y. levy, mary f. fernandez 1997"
23,conf/vldb/BertinoBFS96,"supporting periodic authorizations and temporal reasoning in database access control elena ferrari, pierangela samarati, claudio bettini, elisa bertino 1996"
24,conf/sigmod/LiS98,"free parallel data mining bin li, dennis shasha 1998"
25,conf/vldb/ChenCFGJMTW99,"high level indexing of user-defined types brian t. tran, jyh-herng chow, michelle jou, jean grandbois, yun wang, you-chin fuh, weidong chen, nelson mendon̤a mattos 1999"
26,conf/vldb/Bernstein94,pc database systems - present and future philip a. bernstein 1994
27,conf/vldb/LuoN01,"form-based proxy caching for database-backed web sites jeffrey f. naughton, qiong luo 2001"
