,id,title,authors,venue,year
0,journals/sigmod/Mackay99,semantic integration of environmental models for application to global information systems and decision-making,d. scott mackay,sigmod record,1999
1,conf/vldb/PoosalaI96,estimation of query-result distribution and its application in parallel-join load balancing,"viswanath poosala, yannis e. ioannidis",vldb,1996
2,conf/vldb/PalpanasSCP02,incremental maintenance for non-distributive aggregate functions,"themistoklis palpanas, richard sidle, hamid pirahesh, roberta cochrane",vldb,2002
3,conf/vldb/GardarinGT96,cost-based selection of path expression processing algorithms in object-oriented databases,"zhao-hui tang, georges gardarin, jean-robert gruser",vldb,1996
4,conf/vldb/HoelS95,benchmarking spatial join operations with spatial output,"erik g. hoel, hanan samet",vldb,1995
5,conf/sigmod/Keim99,efficient geometry-based similarity search of 3d spatial databases,daniel a. keim,sigmod conference,1999
6,journals/sigmod/Ouksel02,mining the world wide web: an information search approach - book review,aris m. ouksel,sigmod record,2002
7,journals/vldb/Seshadri98,enhanced abstract data types in object-relational databases,praveen seshadri,vldb j.,1998
8,journals/sigmod/RamamrithamS97,report on dart '96: databases: active and real-time (concepts meet practice),"nandit soparkar, krithi ramamritham",sigmod record,1997
9,journals/sigmod/DAndreaJ96,unisql's next-generation object-relational database management system,"phil janus, albert d'andrea",sigmod record,1996
10,conf/vldb/KemperK94,dual-buffering strategies in object bases,"alfons kemper, donald kossmann",vldb,1994
11,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,aurora: a data stream management system,"nesime tatbul, daniel j. abadi, c. erwin, anurag maskey, mitch cherniack, alex rasin, christian convey, a. singer, eduardo f. galvez, r. yan, ugur çetintemel, ying xing, stanley b. zdonik, michael stonebraker, donald carney, m. hatoun",sigmod conference,2003
12,journals/vldb/SivasankaranSTPR96,priority assignment in real-time active databases,"rajendran m. sivasankaran, bhaskar purimetla, john a. stankovic, krithi ramamritham, donald f. towsley",vldb j.,1996
13,journals/vldb/SheikholeslamiCZ00,wavecluster: a wavelet based clustering approach for spatial data in very large databases,"surojit chatterjee, gholamhosein sheikholeslami, aidong zhang",vldb j.,2000
14,journals/vldb/ChangG01,approximate query mapping: accounting for translation closeness,"hector garcia-molina, kevin chen-chuan chang",vldb j.,2001
15,conf/vldb/ShaferAM96,sprint: a scalable parallel classifier for data mining,"john c. shafer, rakesh agrawal, manish mehta",vldb,1996
16,conf/sigmod/AgichteinGV01,snowball: a prototype system for extracting relations from large text collections,"jeff pavel, luis gravano, aleksandr voskoboynik, eugene agichtein, viktoriya sokolova",sigmod conference,2001
17,conf/sigmod/GriffinH97,a framework for implementing hypothetical queries,"timothy griffin, richard hull",sigmod conference,1997
18,journals/vldb/IoannidisNSS97,parametric query optimization,"raymond t. ng, timos k. sellis, yannis e. ioannidis, kyuseok shim",vldb j.,1997
19,conf/vldb/CuiW01,lineage tracing for general data warehouse transformations,"yingwei cui, jennifer widom",vldb,2001
20,journals/sigmod/Hammer02,report on the acm fourth international workshop on data warehousing and olap (dolap 2001),joachim hammer,sigmod record,2002
21,conf/vldb/Bar-YossefBCFW00,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol, steve chien, ziv bar-yossef, alexander berg, dror weitz",vldb,2000
22,journals/sigmod/FernandezFLS97,a query language for a web-site management system,"dan suciu, daniela florescu, alon y. levy, mary f. fernandez",sigmod record,1997
23,conf/vldb/BertinoBFS96,supporting periodic authorizations and temporal reasoning in database access control,"elena ferrari, pierangela samarati, claudio bettini, elisa bertino",vldb,1996
24,conf/sigmod/LiS98,free parallel data mining,"bin li, dennis shasha",sigmod conference,1998
25,conf/vldb/ChenCFGJMTW99,high level indexing of user-defined types,"brian t. tran, jyh-herng chow, michelle jou, jean grandbois, yun wang, you-chin fuh, weidong chen, nelson mendonça mattos",vldb,1999
26,conf/vldb/Bernstein94,pc database systems - present and future,philip a. bernstein,vldb,1994
27,conf/vldb/LuoN01,form-based proxy caching for database-backed web sites,"jeffrey f. naughton, qiong luo",vldb,2001
28,journals/vldb/AbiteboulCM98,a logical view of structured files,"tova milo, serge abiteboul, sophie cluet",vldb j.,1998
29,journals/sigmod/PitouraAPSV03,dbglobe: a service-oriented p2p system for global computing,"evaggelia pitoura, serge abiteboul, michalis vazirgiannis, dieter pfoser, george samaras",sigmod record,2003
30,conf/sigmod/BraumandlKK99,database patchwork on the internet,"reinhard braumandl, alfons kemper, donald kossmann",sigmod conference,1999
31,conf/vldb/ZemankovaI94,scientific databases - state of the art and future directions,"yannis e. ioannidis, maria zemankova",vldb,1994
32,conf/vldb/BerckenSW97,a generic approach to bulk loading multidimensional index structures,"bernhard seeger, peter widmayer, jochen van den bercken",vldb,1997
33,conf/vldb/ZhouS03,data bubbles for non-vector data: speeding-up hierarchical clustering in arbitrary metric spaces,"jörg sander, jianjun zhou",vldb,2003
34,conf/vldb/LabioG96,efficient snapshot differential algorithms for data warehousing,"hector garcia-molina, wilburt labio",vldb,1996
35,conf/vldb/CochranePM96,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane, hamid pirahesh, nelson mendonça mattos",vldb,1996
36,conf/vldb/HristidisGP03,efficient ir-style keyword search over relational databases,"yannis papakonstantinou, luis gravano, vagelis hristidis",vldb,2003
37,journals/vldb/SaltenisJ02,indexing of now-relative spatio-bitemporal data,"simonas saltenis, christian s. jensen",vldb j.,2002
38,conf/sigmod/Dyreson03,"temporal coalescing with now, granularity, and incomplete information",curtis e. dyreson,sigmod conference,2003
39,journals/sigmod/ChakravarthyAEFO03,database research at ut arlington,"sharma chakravarthy, y. alp aslandogan, ramez elmasri, leonidas fegaras, jung-hwan oh",sigmod record,2003
40,journals/sigmod/KimballS95,why decision support fails and how to fix it,"kevin strehlo, ralph kimball",sigmod record,1995
41,conf/vldb/OzdenBRS94,a low-cost storage server for movie on demand databases,"alexandros biliris, banu özden, abraham silberschatz, rajeev rastogi",vldb,1994
42,conf/vldb/NinkHR99,generating call-level interfaces for advanced database application programming,"theo härder, norbert ritter, udo nink",vldb,1999
43,conf/sigmod/WangWYY02,clustering by pattern similarity in large data sets,"haixun wang, wei wang, philip s. yu, jiong yang",sigmod conference,2002
44,conf/sigmod/Rodriguez-Martinez00,mocha: a database middleware system featuring automatic deployment of application-specific functionality,"manuel rodriguez-martinez, joseph jájá, john m. mcgann, nick roussopoulos, zhexuan song, stephen kelley, vadim katz",sigmod conference,2000
45,conf/sigmod/ChenDLT00,fact: a learning based web query processing system,"zengping tian, hongjun lu, yanlei diao, songting chen",sigmod conference,2000
46,journals/sigmod/MeltonE01,sql multimedia and application packages (sql/mm),"jim melton, andrew eisenberg",sigmod record,2001
47,conf/vldb/Sheth96,bellcore's adapt/x harness system for managing information on internet and intranets,amit p. sheth,vldb,1996
48,conf/sigmod/Larson01,xml data management go native or spruce up relational systems? (panel abstract),per-åke larson,sigmod conference,2001
49,journals/sigmod/ChaudhuriD97,an overview of data warehousing and olap technology,"surajit chaudhuri, umeshwar dayal",sigmod record,1997
50,conf/sigmod/BersonGMJ94,staggered striping in multimedia information systems,"steven berson, richard r. muntz, shahram ghandeharizadeh, xiangyu ju",sigmod conference,1994
51,journals/sigmod/GerlaX03,multimedia streaming in large-scale sensor networks with mobile swarms,"mario gerla, kaixin xu",sigmod record,2003
